MUNICIPIO,COMUNIDADE,LOCALIDADE
ARRAIAL DO CABO,Figueira,Novo Arraial
"",Pernambuca (Arraial do Cabo),
"",Caiçara,
"",Figueira,
"",Sabá,
"",Monte Alto,Monte Alto
"",Praia dos Anjos,Sítio (Arraial do Cabo)
"",Praia dos Anjos,
"",Praia Grande,Centro (Arraial do Cabo)
"",Morro da Cabocla,
"",Macedônia,
"",Prainha,Prainha
"",,
CABO FRIO,Botafogo,Botafogo
"",Centro (Cabo Frio),Porto do Carro
"",São Cristovão,
"",Monte Alegre,
"",Portinho,
"",Jardim Esperança,
"",Passagem,
"",Itajurú,
"",União,
"",São Bento,
"",Gamboa,Gamboa
"",Jacaré,Jacaré
"",Jardim Peró,Jardim Peró
"",Praia do Siqueira,Jardim Caiçara
"",Ponta do Ambrósio,
"",Palmeiras,
"",Praia do Siqueira,
"",Jardim Olinda,
"",Tamoios,Bairro do Arroz
"",Aquarius,
"",Chavão,
"",Unamar,
"",Bairro Hípico,
"",,
"CAMPOS DOSGOYTACAZES",Coroa Grande,Coroa Grande
Parque Aldeia,,
Parque Fundão,,
Itereré,,
Santa Cruz,,
Farol de São Tomé,Centro (Farol de São Tomé),
Lagamar,,
"",,Xexé
"",,Rádio Velho
"",,Vila do Sol
"",,Gaivota
"",,Terminal Pesqueiro
"",,Vila dos Pescadores
"",,Boa Vista
"",Lagoa de Cima,Ururaí
"",,"Pernambuca (Campos dosGoytacazes)"
"",,Lagoa de Cima
"",,Imbé
"",Parque Prazeres,Parque Prazeres
"","Ponta Grossa dosFidalgos",Carvão
"",,Ponta Grossa dos Fidalgos
"",Sant'Ana,Sant'Ana
"",,Mundeus
"",,Lagoa do Campelo
"",,Travessão de Campos
"",Tocos,Goiaba
"",,Tocos
"",,Marcelo de Tocos
"",,Canto do Rio
"",,
MACAÉ,Barra de Macaé,Fronteira
"",,Brasilia
"",,Nova Holanda
"",,Nova Esperança
"",,Barra de Macaé
"",,
QUISSAMÃ,Barra do Furado,Flexeiras
"",,Barra do Furado
"",,São Miguel
"",Beira de Lagoa,Estrada de Beira de Lagoa
"",Centro (Quissamã),Sítio (Quissamã)
"",,Santa Catarina
"",,Ribeira
"",,Visgueiro
"",,Alto Alegre
"",,Caxias
"",,Praia de João Francisco
"",,Matias
"",,Piteira
"",,Penha
"",,Estrada do Machado
"",,Carmo
"",,
"SÃO FRANCISCO DEITABAPOANA",Barra de Itabapoana,Favelinha (SFI)
"",Guriri,
"",Fumega,
"",Casas Populares,
"",Praça João Pessoa,
"",Barra de Itabapoana,
"",Ladeira das Pedras,
"",Caçador,
"",Lagoa Doce,
"",Amontado,
"",Retiro,
"",Buena,
"",Batelão,
"",Travessão de Barra,
"",Faxina,
"",Guariximá,
"",Santa Terrinha,
"",Ingá (SFI),
"",Coreia (SFI),
"",Gargaú,Santa Clara
"",Gargaú,
"",Guaxindiba,Guaxindiba
"",Barrinha,
"",Manguinhos,
"",Praia dos sonhos,
"",Ilha dos Mineiros,
"",Praia do Sossego,
"",Lagoa Feia,Morro do Bode
"",Alves,
"",Maquina,
"",Lagoa Feia,
"",,
SÃO JOÃO DA BARRA,Açú,Quixaba
Barra do Açú,,
"Água Preta",,
Capela de São Pedro,,
Mato Escuro,,
azeitona,,
Palacete,,
Sabonete,,
Pipeiras,,
Folha Larga,,
Vila da Terra,,
Alto do Cardeiro,,
Atafona,Chapéu do Sol,
Cehab,,
Carrapicho,,
"",Pontal
"",Coreia (SJB)
"",Vila Esperança
Barcelos,Barcelos
"",Roça Velha
Grussaí,Outro Lado da Lagoa
"",Grussaí
São João da Barra,Centro (SJB)
"",Nova São João da Barra
"",Água Santa
"",Chatuba
"",Rua de Baixo
"",Pedregal
